name,seed,gamma,model,pooling,momentum,patience,drop_prob,num_views,optimizer,scheduler,step_size,task_name,batch_size,hidden_dim,num_epochs,view_index,enable_wandb,detailed_logs,learning_rate,use_scheduler,_runtime,_step,_timestamp,dev_accuracy,dev_auroc,dev_f1_score,dev_loss,test_accuracy,test_auroc,test_f1_score,test_precision,test_recall,train_loss,_wandb.runtime
vague-sweep-3063,93679,0.8808588244592819,VideoPrism,mean,0.9,3,0.2638331603390368,1,AdamW,reduce,11,sustained_phonation_a,256,512,123,0,True,False,0.0017470795036006934,no,6,123,1769178041.7067556,0.7647058823529411,0.8459837437245996,0.6981132075471698,0.4824466004091151,0.70703125,0.7927740863787375,0.576271186440678,0.5483870967741935,0.6071428571428571,0.37295538384750465,6
balmy-sweep-11482,13612,0.8808588244592819,VideoPrism,mean,0.9,3,0.48107237233288447,1,AdamW,reduce,11,sustained_phonation_a,256,512,88,0,True,False,0.006276840198652043,yes,5,88,1769370050.5956495,0.7830882352941176,0.8458642122878317,0.700507614213198,0.4692233029533835,0.70703125,0.7893826135105205,0.5508982035928144,0.5542168674698795,0.5476190476190477,0.38165365013915176,5
spring-sweep-7796,3623,0.8808588244592819,VideoPrism,mean,0.9,3,0.2520179378795857,1,AdamW,step,11,sustained_phonation_a,256,256,109,0,True,False,0.0017014312977962063,no,7,109,1769287227.5511656,0.7830882352941176,0.8458044465694478,0.6974358974358974,0.47036003014620614,0.70703125,0.7944352159468439,0.5508982035928144,0.5542168674698795,0.5476190476190477,0.3813485151608402,7
wandering-sweep-7155,85269,0.8808588244592819,VideoPrism,mean,0.9,3,0.440245332524959,1,AdamW,reduce,11,sustained_phonation_a,256,1024,165,0,True,False,0.009253595376208566,yes,8,165,1769272678.551817,0.7830882352941176,0.84568491513268,0.6974358974358974,0.4764532271553488,0.75390625,0.8062707641196013,0.6440677966101694,0.6129032258064516,0.6785714285714286,0.3475122599895095,8
pretty-sweep-5693,58085,0.8808588244592819,VideoPrism,mean,0.9,3,0.2923047285812419,1,AdamW,step,11,sustained_phonation_a,256,512,44,0,True,False,0.002488212902540049,no,4,44,1769239814.7406943,0.8014705882352942,0.8456849151326798,0.7032967032967034,0.47694266894284415,0.7421875,0.8073089700996677,0.5769230769230769,0.625,0.5357142857142857,0.35906574349351617,4
copper-sweep-10601,26860,0.8808588244592819,VideoPrism,mean,0.9,3,0.3372322409093845,1,AdamW,reduce,11,sustained_phonation_a,256,1024,84,0,True,False,0.006978627019901908,yes,6,84,1769350489.567013,0.8014705882352942,0.845625149414296,0.7096774193548387,0.4714830307399525,0.7109375,0.7867524916943522,0.5432098765432098,0.5641025641025641,0.5238095238095238,0.34111380767620947,6
autumn-sweep-8024,63921,0.8808588244592819,VideoPrism,mean,0.9,3,0.3488953131101231,1,AdamW,step,11,sustained_phonation_a,256,768,113,0,True,False,0.0011487625121230957,no,8,113,1769292335.957716,0.7977941176470589,0.8454458522591443,0.6994535519125683,0.46287673711776733,0.70703125,0.795265780730897,0.5098039215686274,0.5652173913043478,0.4642857142857143,0.4124672257928998,8
azure-sweep-5884,67124,0.8808588244592819,VideoPrism,mean,0.9,3,0.3432680023537993,1,AdamW,step,11,sustained_phonation_a,256,512,77,0,True,False,0.004283262104406844,yes,5,77,1769244046.581952,0.7794117647058824,0.8453263208223762,0.7029702970297029,0.4735056582619162,0.7265625,0.8120847176079734,0.5783132530120482,0.5853658536585366,0.5714285714285714,0.3860846619841848,5
neat-sweep-12061,99052,0.8808588244592819,VideoPrism,mean,0.9,3,0.46410417709884344,1,AdamW,reduce,11,sustained_phonation_a,256,768,57,0,True,False,0.0072619997787261486,yes,4,57,1769383210.5430489,0.7794117647058824,0.8452665551039925,0.6875,0.4709785545573515,0.72265625,0.7991417497231451,0.5590062111801242,0.5844155844155844,0.5357142857142857,0.36556113636249227,4
breezy-sweep-1919,73491,0.8808588244592819,VideoPrism,mean,0.9,3,0.23382471980366892,1,AdamW,step,11,sustained_phonation_a,256,1024,50,0,True,False,0.001036142345443075,no,3,50,1769152138.97162,0.7610294117647058,0.8450274922304566,0.6829268292682927,0.4736885323243983,0.69140625,0.7871677740863788,0.5536723163841808,0.5268817204301075,0.5833333333333334,0.38336835587700546,3
