"Name","State","Notes","User","Tags","Created","Runtime","Sweep","batch_size","detailed_logs","drop_prob","enable_wandb","gamma","hidden_dim","learning_rate","model","momentum","num_epochs","num_views","optimizer","patience","pooling","scheduler","seed","step_size","task_name","use_scheduler","view_index","dev_accuracy","dev_auroc","dev_f1_score","dev_loss","test_accuracy","test_auroc","test_f1_score","test_precision","test_recall","train_loss"
"icy-sweep-222","finished","-","","","2026-01-22T21:34:47.000Z","17","wlhk39r2","256","false","0.3356642169964633","true","0.8808588244592819","256","0.00023789729316349485","VideoMAE","0.9","193","1","SGD","3","max","step","45210","11","sustained_phonation_e","no","0","0.6531365313653137","0.6028969828104339","0","0.6396952229672253","0.6814516129032258","0.6036251966144859","0","0","0","0.6363687806941093"
"hardy-sweep-201","finished","-","","","2026-01-22T21:34:47.000Z","16","78wphc9r","256","false","0.4817347352700402","true","0.8808588244592819","256","0.0008120633303512903","VideoMAE","0.9","152","1","AdamW","3","mean","reduce","51881","11","sustained_phonation_o","yes","0","0.7333333333333333","0.7016584654638236","0.5135135135135135","0.5777156079256976","0.6991869918699187","0.6542921686746987","0.39344262295081966","0.5714285714285714","0.3","0.5517211882558318"
"peachy-sweep-176","finished","-","","","2026-01-22T21:34:41.000Z","20","hhpm976u","256","false","0.3384419090288209","true","0.8808588244592819","1024","0.0015146367676489266","VideoMAEv2","0.9","198","1","SGD","3","max","reduce","10459","11","facial_expression_disgust","yes","0","0.7472222222222222","0.7595104431814219","0.5806451612903226","0.5426760262913174","0.7286135693215339","0.7516432315500458","0.4772727272727273","0.56","0.4158415841584158","0.44981608558498054"
"sweepy-sweep-21","finished","-","","","2026-01-22T21:34:41.000Z","15","cz5xzmdg","256","false","0.39912635490951354","true","0.8808588244592819","256","0.0009289137671893708","TimeSformer","0.9","61","1","AdamW","3","mean","step","35119","11","resting_face","no","0","0.7037037037037037","0.7765151515151515","0.7551020408163265","0.5736910104751587","0.6704545454545454","0.6846361185983828","0.7478260869565218","0.6935483870967742","0.8113207547169812","0.18002862914866227"
"misunderstood-sweep-10","finished","-","","","2026-01-22T21:34:40.000Z","18","455hbjvp","256","false","0.3926393224901442","true","0.8808588244592819","1024","0.00003223100283032651","VideoMAEv2","0.9","194","1","SGD","3","mean","step","25069","11","tongue_twister","yes","0","0.6825396825396826","0.7353001999034948","0.1836734693877551","0.6372816562652588","0.6995708154506438","0.7382287948325684","0.125","0.8333333333333334","0.06756756756756757","0.6447739638441148"
"devoted-sweep-130","finished","-","","","2026-01-22T21:34:38.000Z","21","8kymj26f","256","false","0.10370903782977492","true","0.8808588244592819","768","0.00003105113309582909","VideoMAE","0.9","197","1","SGD","3","max","reduce","18215","11","extend_arm","yes","0","0.6694677871148459","0.4471668675980427","0","0.6407562327318165","0.7057057057057057","0.4435084672166739","0","0","0","0.6855378349622091"
"giddy-sweep-25","finished","-","","","2026-01-22T21:34:38.000Z","19","0sape03p","256","false","0.10869518754040727","true","0.8808588244592819","512","0.000014103723892288938","TimeSformer","0.9","152","1","SGD","3","max","step","60051","11","pangram_utterance","yes","0","0.6321525885558583","0.5038497278640648","0.3076923076923077","0.6796292415756621","0.6246418338108882","0.5517494400247162","0.2918918918918919","0.34615384615384615","0.2523364485981308","0.6878369175817264"
"proud-sweep-27","finished","-","","","2026-01-22T21:34:33.000Z","16","9e65jeiq","256","false","0.241970784718238","true","0.8808588244592819","512","0.00003122487343886211","TimeSformer","0.9","44","1","SGD","3","max","reduce","75021","11","open_fist","no","0","0.6034985422740525","0.5685524775653531","0.38738738738738737","0.6788155511238833","0.6230031948881789","0.5950174389636272","0.404040404040404","0.3703703703703703","0.4444444444444444","0.6837554600093764"
"morning-sweep-18","finished","-","","","2026-01-22T21:34:32.000Z","17","gcl0d9ym","256","false","0.4673052945362381","true","0.8808588244592819","256","0.00010206245644740992","ViViT","0.9","144","1","AdamW","3","mean","reduce","75907","11","reverse_count","no","0","0.7121771217712177","0.7572424570260848","0.5568181818181818","0.549963808367613","0.7368421052631579","0.7205279927173418","0.5185185185185185","0.6140350877192983","0.44871794871794873","0.40963438567077526"
"different-sweep-151","finished","-","","","2026-01-22T21:34:32.000Z","16","8ncgwe7g","256","false","0.15697118462103413","true","0.8808588244592819","768","0.0038876461820066864","ViViT","0.9","92","1","SGD","3","mean","step","5914","11","facial_expression_surprise","yes","0","0.7078651685393258","0.7244694487964677","0.48514851485148514","0.5630261536394612","0.7787878787878788","0.7370212765957448","0.5165562913907285","0.6964285714285714","0.4105263157894737","0.4914538320879198"
