name,id,seed,gamma,model,pooling,momentum,patience,drop_prob,num_views,optimizer,scheduler,step_size,task_name,batch_size,hidden_dim,num_epochs,view_index,enable_wandb,detailed_logs,learning_rate,use_scheduler,_runtime,_step,_timestamp,dev_accuracy,dev_auroc,dev_f1_score,dev_loss,test_accuracy,test_auroc,test_f1_score,test_npv,test_positives,test_precision,test_recall,test_samples,test_specificity,train_loss,_wandb.runtime
splendid-sweep-1387,e0q6yj0j,67821,0.8808588244592819,VideoPrism,mean,0.9,3,0.18763189102228017,4,AdamW,reduce,11,sustained_phonation_a,64,768,199,-1,True,False,0.00016274897443243732,yes,35,199,1769893816.5805366,0.7416974169741697,0.8395239812477462,0.6788990825688074,0.5438489311295682,0.696,0.7860294117647059,0.6041666666666666,0.8405797101449275,80,0.5178571428571429,0.725,250,0.6823529411764706,0.4418659800464667,35
graceful-sweep-1150,vv91xxy7,43347,0.8808588244592819,VideoPrism,mean,0.9,3,0.29779004000791853,4,AdamW,step,11,sustained_phonation_a,64,512,185,-1,True,False,0.0006846878356284884,no,23,185,1769879346.7203872,0.7527675276752768,0.8394638778699363,0.6666666666666666,0.5144132520879766,0.716,0.7964705882352943,0.5847953216374269,0.8113207547169812,80,0.5494505494505495,0.625,250,0.7588235294117647,0.44244908939287503,23
eager-sweep-886,mcd456v8,90269,0.8808588244592819,VideoPrism,mean,0.9,3,0.12056095986093628,4,AdamW,step,11,sustained_phonation_a,64,512,182,-1,True,False,0.0017418968651062457,no,32,182,1769861520.0761385,0.7564575645756457,0.8389229474696478,0.6732673267326733,0.5000587926139691,0.732,0.7987500000000001,0.5988023952095808,0.8159509202453987,80,0.5747126436781609,0.625,250,0.7823529411764706,0.4195701427830076,32
true-sweep-314,8wkb6vcr,11689,0.8808588244592819,VideoPrism,mean,0.9,3,0.25328671789378276,4,AdamW,step,11,sustained_phonation_a,64,768,192,-1,True,False,0.00032266616648369905,yes,33,192,1769822479.3044322,0.7527675276752768,0.8383820170693593,0.6794258373205742,0.5177577384283621,0.704,0.7826470588235294,0.5795454545454546,0.8116883116883117,80,0.53125,0.6375,250,0.7352941176470589,0.4000392909188872,33
still-sweep-3590,d521xxno,55039,0.8808588244592819,VideoPrism,mean,0.9,3,0.3219805063470689,4,AdamW,reduce,11,sustained_phonation_a,64,1024,132,-1,True,False,0.0001258835980701027,yes,22,132,1770042567.3709142,0.7527675276752768,0.8376006731578315,0.6912442396313364,0.5573065082965302,0.696,0.7869117647058823,0.5824175824175825,0.8175675675675675,80,0.5196078431372549,0.6625,250,0.711764705882353,0.4923617700928623,22
lively-sweep-3254,ixi9frzr,5917,0.8808588244592819,VideoPrism,mean,0.9,3,0.4150143771959047,4,AdamW,reduce,11,sustained_phonation_a,64,512,98,-1,True,False,0.0005801091918881697,no,14,98,1770019527.677708,0.7675276752767528,0.8373302079576873,0.6956521739130435,0.5255267661875904,0.7,0.7852205882352941,0.5664739884393064,0.802547770700637,80,0.5268817204301075,0.6125,250,0.7411764705882353,0.412690610561556,14
desert-sweep-1157,8hx0jkm7,64624,0.8808588244592819,VideoPrism,mean,0.9,3,0.4302323889914269,4,AdamW,step,11,sustained_phonation_a,64,512,116,-1,True,False,0.0018291034415322952,yes,19,116,1769879704.9320154,0.7749077490774908,0.8373001562687824,0.6934673366834171,0.5012476530022287,0.708,0.7930147058823529,0.5780346820809249,0.8089171974522293,80,0.5376344086021505,0.625,250,0.7470588235294118,0.3562729260296498,19
daily-sweep-3166,yvd1bwhr,54790,0.8808588244592819,VideoPrism,mean,0.9,3,0.189052045709438,4,AdamW,step,11,sustained_phonation_a,64,1024,165,-1,True,False,7.451493082818054e-05,no,31,165,1770013827.2677662,0.7638376383763837,0.8371198461353528,0.6981132075471698,0.5459687650423648,0.696,0.7820588235294117,0.5869565217391305,0.821917808219178,80,0.5192307692307693,0.675,250,0.7058823529411765,0.4291824357023517,31
divine-sweep-1684,eczrczpa,74807,0.8808588244592819,VideoPrism,mean,0.9,3,0.4022797742445424,4,AdamW,step,11,sustained_phonation_a,64,256,71,-1,True,False,0.006268092550319693,no,15,71,1769913194.4783611,0.7785977859778598,0.8368794326241136,0.7058823529411765,0.5048801758192563,0.748,0.7923529411764706,0.6272189349112426,0.8322981366459627,80,0.5955056179775281,0.6625,250,0.788235294117647,0.34933091049055454,15
dashing-sweep-1558,nw3qkz17,96396,0.8808588244592819,VideoPrism,mean,0.9,3,0.16657003302874124,4,AdamW,reduce,11,sustained_phonation_a,64,512,100,-1,True,False,0.00017208045033073832,yes,17,100,1769904346.5111551,0.7490774907749077,0.8365789157350644,0.6792452830188679,0.5530412412657509,0.696,0.783235294117647,0.5913978494623656,0.8263888888888888,80,0.5188679245283019,0.6875,250,0.7,0.46010234749432904,17
