name,seed,gamma,model,pooling,momentum,patience,drop_prob,num_views,optimizer,scheduler,step_size,task_name,batch_size,hidden_dim,num_epochs,view_index,enable_wandb,detailed_logs,learning_rate,use_scheduler,_runtime,_step,_timestamp,dev_accuracy,dev_auroc,dev_f1_score,dev_loss,test_accuracy,test_auroc,test_f1_score,test_npv,test_positives,test_precision,test_recall,test_samples,test_specificity,train_loss,_wandb.runtime
different-sweep-47,94124,0.8808588244592819,VideoMAE,max,0.9,3,0.1848331998566872,4,SGD,reduce,11,sustained_phonation_a,64,1024,91,-1,True,False,0.0009366982782495224,no,43,91,1769802322.5502603,0.654275092936803,0.4604716520039101,0.0,0.6575670607914269,0.68,0.48955882352941177,0.0,0.68,80,0.0,0.0,250,1.0,0.7157469071851441,43
young-sweep-782,88114,0.8808588244592819,VideoPrism,max,0.9,3,0.3401025445846161,4,SGD,step,11,sustained_phonation_a,64,1024,136,-1,True,False,1.10169852063335e-05,no,24,136,1769854266.913455,0.34686346863468637,0.4598809953119366,0.5150684931506849,0.7212436555496441,0.32,0.3602941176470588,0.48484848484848486,0.0,80,0.32,1.0,250,0.0,0.6909867096873163,24
hardy-sweep-2891,26093,0.8808588244592819,VJEPA2_SSV2,max,0.9,3,0.3713153102494749,4,SGD,step,11,sustained_phonation_a,64,1024,33,-1,True,False,1.0546868889714378e-05,yes,43,33,1769995692.9856768,0.6459143968871596,0.45975109228121275,0.0,0.6539803242405101,0.6666666666666666,0.435655253837072,0.0,0.6666666666666666,77,0.0,0.0,231,1.0,0.740551371806219,43
glowing-sweep-3196,83695,0.8808588244592819,VJEPA2,max,0.9,3,0.10003797758311016,4,SGD,step,11,sustained_phonation_a,64,256,134,-1,True,False,2.934170875233428e-05,yes,143,134,1770015565.868261,0.6531365313653137,0.4595504267339825,0.0,0.6462254403262121,0.6814516129032258,0.5114223653658903,0.0,0.6814516129032258,79,0.0,0.0,248,1.0,0.7597122774668771,143
eternal-sweep-1219,91307,0.8808588244592819,VJEPA2_SSV2,max,0.9,3,0.31510014132692943,4,SGD,reduce,11,sustained_phonation_a,64,256,157,-1,True,False,3.679190586944307e-05,yes,98,157,1769883507.0625715,0.6459143968871596,0.4594862968356944,0.0,0.6508447261172046,0.6666666666666666,0.5450328891887333,0.0,0.6666666666666666,77,0.0,0.0,231,1.0,0.7770920638030986,98
misunderstood-sweep-33,71966,0.8808588244592819,VideoMAEv2,mean,0.9,3,0.12351659161601902,4,SGD,reduce,11,sustained_phonation_a,64,1024,125,-1,True,False,2.9628429714497995e-05,no,49,125,1769801137.9294498,0.6531365313653137,0.4594302199783628,0.0,0.6460986764228652,0.68,0.38985294117647057,0.0,0.68,80,0.0,0.0,250,1.0,0.7657686483512804,49
vague-sweep-2535,22992,0.8808588244592819,ViViT,mean,0.9,3,0.31618042234396126,4,SGD,reduce,11,sustained_phonation_a,64,256,60,-1,True,False,4.149667009182647e-05,no,36,60,1769971779.1171746,0.34572490706319703,0.45894428152492667,0.5138121546961326,0.7507925226342722,0.3185483870967742,0.488128230095124,0.4831804281345566,0.0,79,0.3185483870967742,1.0,248,0.0,0.69289376643429,36
floral-sweep-714,15590,0.8808588244592819,VideoPrism,mean,0.9,3,0.3655225187862466,4,SGD,step,11,sustained_phonation_a,64,512,52,-1,True,False,2.7119267157855302e-05,no,12,52,1769850001.3919728,0.34686346863468637,0.4588892895780743,0.5150684931506849,0.7821924998751426,0.32,0.4938970588235294,0.48484848484848486,0.0,80,0.32,1.0,250,0.0,0.7013105651707325,12
vital-sweep-1049,34380,0.8808588244592819,VideoMAEv2,mean,0.9,3,0.4637778225882989,4,SGD,step,11,sustained_phonation_a,64,768,28,-1,True,False,9.694103658171016e-05,no,32,28,1769872466.712987,0.6531365313653137,0.45864887606683497,0.0,0.6890682021630207,0.68,0.3125,0.0,0.68,80,0.0,0.0,250,1.0,0.6946835760931367,32
rural-sweep-1149,80592,0.8808588244592819,ViViT,mean,0.9,3,0.1084201800615782,4,SGD,reduce,11,sustained_phonation_a,64,512,179,-1,True,False,0.0006053612036884521,yes,42,179,1769879315.4042726,0.6505576208178439,0.4585166177908114,0.0,0.6864239247758149,0.6854838709677419,0.45389858437570224,0.025,0.6842105263157895,79,1.0,0.012658227848101266,248,1.0,0.6950493178158399,42
ethereal-sweep-3408,57323,0.8808588244592819,VJEPA2_SSV2,max,0.9,3,0.46170589129939066,4,SGD,step,11,sustained_phonation_a,64,1024,138,-1,True,False,3.294356918052358e-05,no,134,138,1770030391.889883,0.3540856031128405,0.4584602144843109,0.5229885057471264,0.7149771556316182,0.3333333333333333,0.5172879068982965,0.5,0.0,77,0.3333333333333333,1.0,231,0.0,0.6892315936487717,134
amber-sweep-2502,78588,0.8808588244592819,VideoPrism,max,0.9,3,0.41979238827379384,4,SGD,step,11,sustained_phonation_a,64,512,122,-1,True,False,0.0002457926163688679,yes,21,122,1769969644.8017008,0.6531365313653137,0.4582281524221661,0.0,0.652552852111549,0.68,0.4151470588235294,0.0,0.68,80,0.0,0.0,250,1.0,0.7252856458275063,21
dark-sweep-2177,13973,0.8808588244592819,ViViT,mean,0.9,3,0.4110295065585115,4,SGD,step,11,sustained_phonation_a,64,256,102,-1,True,False,3.0041838779076658e-05,no,41,102,1769947004.115697,0.654275092936803,0.4581500488758553,0.0,0.6530490743626449,0.6814516129032258,0.3703842408808329,0.0,0.6814516129032258,79,0.0,0.0,248,1.0,0.7249936660130819,41
distinctive-sweep-2742,9839,0.8808588244592819,VideoMAEv2,mean,0.9,3,0.3960343115075533,4,SGD,reduce,11,sustained_phonation_a,64,768,127,-1,True,False,0.00029210548445869855,no,39,127,1769985299.0493028,0.6531365313653137,0.4580478422887366,0.0,0.6570026815157535,0.68,0.414264705882353,0.0,0.68,80,0.0,0.0,250,1.0,0.7174412903276463,39
grateful-sweep-86,55522,0.8808588244592819,VideoMAE,max,0.9,3,0.1978977414045543,4,SGD,step,11,sustained_phonation_a,64,512,163,-1,True,False,2.200764844406036e-05,no,53,163,1769805145.1841583,0.34572490706319703,0.45802785923753664,0.5138121546961326,0.7028539021219019,0.32,0.49169117647058824,0.48484848484848486,0.0,80,0.32,1.0,250,0.0,0.6914460509924792,53
spring-sweep-2830,32986,0.8808588244592819,VideoMAE,max,0.9,3,0.4979793525261961,4,SGD,step,11,sustained_phonation_a,64,256,103,-1,True,False,0.0030974928497155252,no,42,103,1769991053.2851698,0.654275092936803,0.457814027370479,0.0,0.6642460249170494,0.68,0.4695220588235294,0.0,0.68,80,0.0,0.0,250,1.0,0.7081496660403195,42
driven-sweep-1301,72272,0.8808588244592819,VideoPrism,max,0.9,3,0.35812470872386293,4,SGD,reduce,11,sustained_phonation_a,64,512,88,-1,True,False,4.180958047936763e-05,no,18,88,1769888793.273008,0.34686346863468637,0.4572664983772088,0.5150684931506849,0.7205090766903219,0.32,0.4311397058823529,0.48484848484848486,0.0,80,0.32,1.0,250,0.0,0.6908373994734681,18
silver-sweep-2908,14034,0.8808588244592819,ViViT,mean,0.9,3,0.16364394447171088,4,SGD,step,11,sustained_phonation_a,64,768,168,-1,True,False,7.38726516726653e-05,no,50,168,1769996882.4324124,0.654275092936803,0.4570503421309874,0.0,0.6556654452834431,0.6814516129032258,0.48977604673807207,0.0,0.6814516129032258,79,0.0,0.0,248,1.0,0.7204132932195716,50
sparkling-sweep-3328,47439,0.8808588244592819,TimeSformer,mean,0.9,3,0.1576125344946987,4,SGD,step,11,sustained_phonation_a,64,512,46,-1,True,False,0.00033395300079297485,no,34,46,1770025353.6597836,0.34572490706319703,0.456439393939394,0.5138121546961326,0.7122293515719446,0.3185483870967742,0.4227398696726837,0.4831804281345566,0.0,79,0.3185483870967742,1.0,248,0.0,0.6904368003209432,34
smart-sweep-687,50491,0.8808588244592819,VideoMAE,mean,0.9,3,0.4634766841397774,4,SGD,reduce,11,sustained_phonation_a,64,512,91,-1,True,False,1.568884296823845e-05,no,40,91,1769848004.7810757,0.654275092936803,0.4562255620723362,0.0,0.6533729154824324,0.68,0.5030882352941176,0.0,0.68,80,0.0,0.0,250,1.0,0.7229261923257128,40
fragrant-sweep-2956,1961,0.8808588244592819,VideoMAE,max,0.9,3,0.12154282875386968,4,AdamW,step,11,sustained_phonation_a,64,768,171,-1,True,False,1.1965658593090513e-05,no,43,171,1769999829.9633954,0.654275092936803,0.4558895405669599,0.0,0.662906586459135,0.68,0.5148897058823529,0.0,0.68,80,0.0,0.0,250,1.0,0.7092840243459692,43
olive-sweep-1363,89288,0.8808588244592819,VideoMAE,max,0.9,3,0.3899058484846617,4,AdamW,step,11,sustained_phonation_a,64,256,75,-1,True,False,0.0009572079883802518,yes,36,75,1769892548.561383,0.654275092936803,0.4557368035190617,0.0,0.6491794880881185,0.68,0.4777573529411765,0.0,0.68,80,0.0,0.0,250,1.0,0.7331165964474274,36
