name,id,seed,gamma,model,pooling,momentum,patience,drop_prob,num_views,optimizer,scheduler,step_size,task_name,batch_size,hidden_dim,num_epochs,view_index,enable_wandb,detailed_logs,learning_rate,use_scheduler,_runtime,_step,_timestamp,dev_accuracy,dev_auroc,dev_f1_score,dev_loss,test_accuracy,test_auroc,test_f1_score,test_npv,test_positives,test_precision,test_recall,test_samples,test_specificity,train_loss,_wandb.runtime
devoted-sweep-765,fxn09voq,17699,0.1,VJEPA2_SSV2,mean,0.9,4,0.4855852305378586,1,AdamW,reduce,3,facial_expression_surprise,256,768,168,0,True,False,7.125390639097167e-05,no,75,168,1770225020.833273,0.7737430167597765,0.8212217514124294,0.6582278481012658,0.49745825748869826,0.7610619469026548,0.7936401673640167,0.6048780487804878,0.8376068376068376,100,0.5904761904761905,0.62,339,0.8200836820083682,0.33470642625116837,75
stoic-sweep-1689,wqu5rn3f,55944,0.1,VJEPA2_SSV2,mean,0.9,3,0.3735306558022464,1,AdamW,reduce,5,facial_expression_surprise,256,1024,159,0,True,False,7.221602415947099e-05,no,71,159,1770286922.0951428,0.7681564245810056,0.8212217514124293,0.6497890295358649,0.5012881069875962,0.7551622418879056,0.7908786610878661,0.5829145728643216,0.825,100,0.5858585858585859,0.58,339,0.8284518828451883,0.284957878228997,71
proud-sweep-948,13hvef6t,5165,0.1,VJEPA2_SSV2,mean,0.9,5,0.34904912841833713,1,AdamW,step,10,facial_expression_surprise,256,768,134,0,True,False,9.012559088140386e-05,no,57,134,1770237853.0197985,0.7737430167597765,0.8211864406779662,0.6553191489361702,0.49974233045258337,0.7522123893805309,0.7948535564853556,0.5882352941176471,0.8297872340425532,100,0.5769230769230769,0.6,339,0.8158995815899581,0.31766278102618306,57
robust-sweep-134,rxj7l4wl,3417,0.1,VJEPA2_SSV2,mean,0.9,3,0.2681369525178335,1,AdamW,reduce,7,facial_expression_surprise,256,1024,178,0,True,False,3.867519171667409e-05,no,76,178,1770160555.2821288,0.7681564245810056,0.821186440677966,0.6584362139917695,0.5100345847992923,0.7640117994100295,0.7929707112970712,0.6190476190476191,0.8471615720524017,100,0.5909090909090909,0.65,339,0.8117154811715481,0.2704252301811838,76
silver-sweep-1506,zwe8u8n9,47876,0.1,VJEPA2_SSV2,mean,0.9,4,0.49589464384636006,1,AdamW,step,6,facial_expression_surprise,256,256,126,0,True,False,3.976153661659997e-05,no,58,126,1770274700.0152795,0.770949720670391,0.8211511299435027,0.6746031746031746,0.5124499674615913,0.7551622418879056,0.7897907949790794,0.6175115207373272,0.8513513513513513,100,0.5726495726495726,0.67,339,0.7907949790794979,0.30288025294365334,58
electric-sweep-1103,swu9ag9c,63628,0.1,VJEPA2_SSV2,mean,0.9,3,0.11243549656314827,1,AdamW,reduce,10,facial_expression_surprise,256,256,76,0,True,False,0.00020150241801060703,no,40,76,1770247932.7123606,0.7681564245810056,0.8211158192090396,0.6556016597510373,0.5075603222380803,0.7581120943952803,0.7929707112970711,0.6095238095238096,0.8427947598253275,100,0.5818181818181818,0.64,339,0.8075313807531381,0.30917023268400456,40
radiant-sweep-1816,37316n3h,57534,0.1,VJEPA2_SSV2,mean,0.9,4,0.16980606240605334,1,AdamW,reduce,7,facial_expression_surprise,256,512,105,0,True,False,7.280992410428614e-05,no,51,105,1770295055.280721,0.7681564245810056,0.8211158192090395,0.6497890295358649,0.5027019481419185,0.7581120943952803,0.7948535564853556,0.594059405940594,0.8312236286919831,100,0.5882352941176471,0.6,339,0.8242677824267782,0.31111881429073857,51
jumping-sweep-1496,lh0b6104,9903,0.1,VJEPA2_SSV2,mean,0.9,3,0.23673887595586995,1,AdamW,reduce,3,facial_expression_surprise,256,512,186,0,True,False,2.54477772490183e-05,no,84,186,1770274101.4307172,0.7569832402234636,0.8211158192090394,0.6477732793522267,0.513801239389281,0.7640117994100295,0.7941422594142259,0.6261682242990654,0.8533333333333334,100,0.5877192982456141,0.67,339,0.803347280334728,0.26832383044627534,84
neat-sweep-771,dx0jq47p,26868,0.1,VJEPA2_SSV2,mean,0.9,5,0.41737501564349655,1,AdamW,step,9,facial_expression_surprise,256,1024,85,0,True,False,4.7106739114415375e-05,no,44,85,1770225510.9645443,0.7541899441340782,0.8210805084745764,0.639344262295082,0.5091398221820427,0.7522123893805309,0.7956066945606696,0.6037735849056604,0.8414096916299559,100,0.5714285714285714,0.64,339,0.799163179916318,0.28512442475106536,44
golden-sweep-1363,5v96gtu3,13398,0.1,VJEPA2_SSV2,mean,0.9,3,0.4462624907267031,1,AdamW,reduce,6,facial_expression_surprise,256,1024,166,0,True,False,4.2016960029904015e-05,no,69,166,1770265056.2409115,0.770949720670391,0.8210805084745764,0.672,0.5153187473393019,0.7669616519174042,0.7935564853556485,0.6359447004608295,0.8603603603603603,100,0.5897435897435898,0.69,339,0.799163179916318,0.2776486029644974,69
absurd-sweep-798,wkdng3iy,17562,0.1,VJEPA2_SSV2,mean,0.9,4,0.29275964696458723,1,AdamW,reduce,4,facial_expression_surprise,256,512,104,0,True,False,4.1970812077389424e-05,no,50,104,1770227300.3856685,0.7681564245810056,0.8210805084745763,0.6666666666666666,0.5101280638625502,0.7640117994100295,0.7948117154811715,0.6296296296296297,0.8565022421524664,100,0.5862068965517241,0.68,339,0.799163179916318,0.29775317025785686,50
jumping-sweep-1822,fccalvmh,46635,0.1,VJEPA2_SSV2,mean,0.9,3,0.12246522011553208,1,AdamW,reduce,4,facial_expression_surprise,256,512,49,0,True,False,0.00018915566093300973,no,28,49,1770295474.5897913,0.770949720670391,0.8209745762711865,0.6495726495726496,0.49190387096484944,0.7581120943952803,0.7947698744769874,0.6019417475728155,0.8369098712446352,100,0.5849056603773585,0.62,339,0.8158995815899581,0.3763307626006984,28
pleasant-sweep-1332,j91ea975,19754,0.1,VJEPA2_SSV2,mean,0.9,4,0.2130938044499318,1,AdamW,reduce,6,facial_expression_surprise,256,512,152,0,True,False,5.960087323148382e-05,no,67,152,1770262811.205104,0.7597765363128491,0.8209392655367233,0.6532258064516129,0.508093550551537,0.7581120943952803,0.792928870292887,0.6095238095238096,0.8427947598253275,100,0.5818181818181818,0.64,339,0.8075313807531381,0.3084540863831838,67
playful-sweep-243,gr4su19f,40704,0.1,VJEPA2_SSV2,mean,0.9,5,0.37113272565984934,1,AdamW,reduce,3,facial_expression_surprise,256,768,169,0,True,False,3.618811821482607e-05,no,79,169,1770190076.5943284,0.7737430167597765,0.8209392655367233,0.6772908366533864,0.511459852064122,0.7522123893805309,0.7947698744769874,0.6146788990825688,0.8506787330316742,100,0.5677966101694916,0.67,339,0.7866108786610879,0.3025975210659978,79
legendary-sweep-950,hb93xczi,60868,0.1,VJEPA2_SSV2,mean,0.9,5,0.16085336546745635,1,AdamW,reduce,6,facial_expression_surprise,256,768,74,0,True,False,0.0001113336218317999,no,37,74,1770237991.9881537,0.7653631284916201,0.8209392655367233,0.6410256410256411,0.50223152098043,0.7640117994100295,0.7933891213389122,0.6039603960396039,0.8354430379746836,100,0.5980392156862745,0.61,339,0.8284518828451883,0.29634330478035104,37
happy-sweep-1591,o3pawm3h,92948,0.1,VJEPA2_SSV2,mean,0.9,5,0.3977784096404427,1,AdamW,step,3,facial_expression_surprise,256,1024,129,0,True,False,5.536334790209285e-05,no,57,129,1770280424.846398,0.7653631284916201,0.820939265536723,0.6470588235294118,0.508336058875036,0.7551622418879056,0.7951046025104603,0.5870646766169154,0.8277310924369747,100,0.5841584158415841,0.59,339,0.8242677824267782,0.26801017945220157,57
wandering-sweep-229,ywjn0zfo,38310,0.1,VJEPA2_SSV2,mean,0.9,4,0.22455226804614195,1,AdamW,step,6,facial_expression_surprise,256,256,132,0,True,False,3.768577855693171e-05,no,60,132,1770167670.3881855,0.7625698324022346,0.82090395480226,0.6666666666666666,0.5104066083551119,0.7492625368731564,0.792050209205021,0.6118721461187214,0.85,100,0.5630252100840336,0.67,339,0.7824267782426778,0.33457084221332345,60
vibrant-sweep-1101,ebrwl8yl,23768,0.1,VJEPA2_SSV2,mean,0.9,4,0.13422568080011393,1,AdamW,reduce,3,facial_expression_surprise,256,256,133,0,True,False,0.00014651644237911114,no,63,133,1770247811.9218934,0.776536312849162,0.8209039548022597,0.6666666666666666,0.5025282821841746,0.7581120943952803,0.7888284518828452,0.5980392156862745,0.8340425531914893,100,0.5865384615384616,0.61,339,0.8200836820083682,0.3346403006579028,63
expert-sweep-1348,9etx9sep,17763,0.1,VJEPA2_SSV2,mean,0.9,5,0.20777117596163652,1,AdamW,reduce,4,facial_expression_surprise,256,256,150,0,True,False,0.00015585798031748438,no,72,150,1770263923.9949265,0.7793296089385475,0.8208686440677967,0.6519823788546255,0.5035767555236816,0.7581120943952803,0.792092050209205,0.5816326530612245,0.823045267489712,100,0.59375,0.57,339,0.8368200836820083,0.2981905413775885,72
scarlet-sweep-1157,nzmbg4at,96087,0.1,VJEPA2_SSV2,mean,0.9,4,0.48922619408587253,1,AdamW,reduce,9,facial_expression_surprise,256,768,161,0,True,False,4.1945796002249255e-05,no,69,161,1770251290.2869537,0.7653631284916201,0.8208686440677967,0.6612903225806451,0.5120459079076458,0.7728613569321534,0.7982426778242678,0.6451612903225806,0.8648648648648649,100,0.5982905982905983,0.7,339,0.803347280334728,0.299199013983836,69
logical-sweep-93,yttbnkf6,1771,0.1,VJEPA2_SSV2,mean,0.9,4,0.18606472518145745,1,AdamW,reduce,5,facial_expression_surprise,256,768,96,0,True,False,2.891135899764593e-05,no,52,96,1770157283.979675,0.7597765363128491,0.8208686440677967,0.6640625,0.5138934654230513,0.7610619469026548,0.7959832635983264,0.6367713004484304,0.8657407407407407,100,0.5772357723577236,0.71,339,0.7824267782426778,0.3046974617393077,52
avid-sweep-1807,gwb6ks6g,73972,0.1,VJEPA2_SSV2,mean,0.9,3,0.16136780932539777,1,AdamW,reduce,5,facial_expression_surprise,256,512,76,0,True,False,9.785351123152994e-05,no,40,76,1770294483.9920058,0.770949720670391,0.8208686440677966,0.6554621848739496,0.4999682566973084,0.7551622418879056,0.791213389121339,0.5951219512195122,0.8333333333333334,100,0.580952380952381,0.61,339,0.8158995815899581,0.33027636645888747,40
hardy-sweep-324,dyhe68jf,25655,0.1,VJEPA2_SSV2,mean,0.9,5,0.17981482347909103,1,AdamW,step,9,facial_expression_surprise,256,256,199,0,True,False,6.187058977978976e-05,no,85,199,1770195794.2640707,0.770949720670391,0.8208686440677966,0.672,0.5097336272953609,0.7581120943952803,0.7918410041841004,0.6238532110091743,0.8552036199095022,100,0.576271186440678,0.68,339,0.7907949790794979,0.33189581004845325,85
silver-sweep-912,wbz1fne6,67912,0.1,VJEPA2_SSV2,mean,0.9,4,0.20449218663674903,1,AdamW,reduce,3,facial_expression_surprise,256,1024,104,0,True,False,4.2025524443980104e-05,no,47,104,1770235364.576626,0.7653631284916201,0.8208686440677965,0.6612903225806451,0.5130388367109459,0.7699115044247787,0.7943933054393306,0.6285714285714286,0.851528384279476,100,0.6,0.66,339,0.8158995815899581,0.2661783514904375,47
spring-sweep-900,s89emukf,36706,0.1,VJEPA2_SSV2,mean,0.9,3,0.29505361881769454,1,AdamW,step,4,facial_expression_surprise,256,512,80,0,True,False,5.425311431843379e-05,no,42,80,1770234640.7445176,0.7625698324022346,0.8207980225988699,0.6640316205533597,0.5145866651108811,0.7640117994100295,0.7915481171548118,0.6330275229357798,0.8597285067873304,100,0.5847457627118644,0.69,339,0.7949790794979079,0.2956477065547174,42
denim-sweep-879,resuqxiv,14160,0.1,VJEPA2_SSV2,mean,0.9,3,0.25369720595404655,1,AdamW,reduce,7,facial_expression_surprise,256,256,195,0,True,False,0.0002808083157737264,no,84,195,1770233008.1983137,0.7793296089385475,0.8207627118644069,0.6666666666666666,0.4992786019874018,0.7551622418879056,0.7931380753138075,0.5911330049261084,0.8305084745762712,100,0.5825242718446602,0.6,339,0.8200836820083682,0.34145891140489015,84
bumbling-sweep-136,rnvbpkxx,73668,0.1,VJEPA2_SSV2,mean,0.9,3,0.26270338302829244,1,AdamW,reduce,4,facial_expression_surprise,256,512,181,0,True,False,0.000239852435438416,no,89,181,1770160741.8281991,0.776536312849162,0.8207627118644069,0.6694214876033058,0.5086299021150813,0.7610619469026548,0.7956066945606693,0.6124401913875598,0.8434782608695652,100,0.5871559633027523,0.64,339,0.8117154811715481,0.29609993358953995,89
